"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","Успешное удаление бронирования","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","62","Получение данных о бронировании по id","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","270","Создание бронирования без обязательных полей в запросе","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","245","Создание бронирования без обязательных полей в запросе","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"Faker не используется, т.к. валидной считается всего одна пара username/password","274","Успешная авторизация","tests","2026-08-13","passed","2026-08-13","TestAuth","test_auth","",""
"","55","Обновление данных бронирования с невалидным/отсутствующим токеном авторизации","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","246","Создание бронирования без обязательных полей в запросе","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"Получение данных по всем бронированиям без фильтрации / с фильтрацией по квери-параметрам","248","Получение данных по всем бронированиям","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","238","Создание бронирования без обязательных полей в запросе","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","64","Обновление данных бронирования с невалидным/отсутствующим токеном авторизации","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","258","Авторизация с невалидными входными данными","tests","2026-08-13","passed","2026-08-13","TestAuth","test_auth","",""
"","261","Удаление несуществующего бронирования","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","267","Обновление несуществующего бронирования","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","267","Создание бронирования с некорректными датами","tests","2026-08-13","skipped","2026-08-13","TestBooking","test_booking","",""
"","237","Обновление несуществующего бронирования","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","252","Получение данных о несуществующем бронировании","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","254","Успешное создание бронирования","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","286","Создание бронирования без обязательных полей в запросе","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","248","Авторизация с невалидными входными данными","tests","2026-08-13","passed","2026-08-13","TestAuth","test_auth","",""
"Получение данных по всем бронированиям без фильтрации / с фильтрацией по квери-параметрам","246","Получение данных по всем бронированиям","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"Получение данных по всем бронированиям без фильтрации / с фильтрацией по квери-параметрам","265","Получение данных по всем бронированиям","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"Получение данных по всем бронированиям без фильтрации / с фильтрацией по квери-параметрам","366","Получение данных по всем бронированиям","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","257","Авторизация с невалидными входными данными","tests","2026-08-13","passed","2026-08-13","TestAuth","test_auth","",""
"","56","Обновление данных бронирования с невалидным/отсутствующим токеном авторизации","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","56","Успешное частичное обновление бронирования методом PATCH","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"Получение данных по всем бронированиям без фильтрации / с фильтрацией по квери-параметрам","359","Получение данных по всем бронированиям","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","237","Создание бронирования без обязательных полей в запросе","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","238","Проверка доступности API через PING-запрос","tests","2026-08-13","passed","2026-08-13","TestPing","test_ping","",""
"","284","Авторизация с невалидными входными данными","tests","2026-08-13","passed","2026-08-13","TestAuth","test_auth","",""
"Проверяет получение ошибки при попытке удалить бронирование
        без токена авторизации / с невалидным токеном","55","Удаление бронирования без валидного токена","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","56","Обновление данных бронирования с невалидным/отсутствующим токеном авторизации","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","58","Полное успешное обновление данных бронирования методом PUT","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"Проверяет получение ошибки при попытке удалить бронирование
        без токена авторизации / с невалидным токеном","58","Удаление бронирования без валидного токена","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
"","247","Создание бронирования без обязательных полей в запросе","tests","2026-08-13","passed","2026-08-13","TestBooking","test_booking","",""
